ascension keystone secundus  28447;
ground bat bones  2391;
ground fishing bait  12129;
ground guam  6681;
ground seaweed  6683;
guthatrice egg  12111;
ganodermic boots  25980;
ganodermic gloves  25978;
garb of subjugation shard  30112;
gem focus  32819;
glaiven boots  21790;
gleaming energy  29318;
glowing energy  29316;
goblin mail  288;
gold seal  9040;
golden scarab  9028;
golden statuette  9034;
gown of subjugation shard  30113;
honeycomb  12156;
hood of subjugation shard  30111;
incandescent energy  29324;
incomplete hydrix  31851;
insignia recharge  31926;
ivory comb  9026;
jewelled golden statuette  20661;
karil's off-hand pistol crossbow  25895;
karil's off-hand pistol crossbow (broken)  36805;
knot-skipping ticket  33506;
lavender  12572;
leather case  32818;
living minerals  15263;
luchador mask token  36206;
luminous energy  29323;
lustrous energy  29320;
mort myre stem  2972;
magic notepaper  30372;
mammoth tusk  36023;
mazcab ability codex  35148;
meditation rest animation token  35317;
metal setting  32820;
mimic helm  36818;
mimic kill token  36814;
mimic tongue cape  36820;
mithril seeds  299;
mole claw  7416;
mole skin  7418;
mort myre pear  2974;
nuts  12130;
off-hand armadyl crossbow shard  34858;
off-hand briefcase  33514;
off-hand drygore longsword shard  30083;
off-hand drygore mace shard  30085;
off-hand drygore rapier shard  30081;
off-hand rubber turkey  33622;
off-hand suitcase  33510;
proboscis  6319;
puzzle-skipping ticket  33505;
pork pie  28656;
portable brazier  35228;
portable crafter  35226;
portable fletcher  35227;
portable forge  31041;
portable range  31042;
portable sawmill  31043;
portable well  31044;
pottery scarab  9032;
pottery statuette  9036;
pouch  12155;
primweed  12588;
pale energy  29313;
pengatrice egg  12117;
pernix body shard  30094;
pernix boots shard  30105;
pernix chaps shard  30095;
pernix cowl shard  30093;
pernix gloves shard  30100;
pet of seasons token  35781;
phoenix quill  14616;
pinata plushie  36207;
pinata sombrero  36204;
pneumatic gloves shard  30060;
radiant energy  29322;
ragefire boots  21793;
ribcage piece  6165;
rock-shell chunk  6157;
rock-shell shard  6159;
rock-shell splinter  6161;
rubber turkey  33619;
stone seal  9042;
stone statuette  9038;
stretched hide  6173;
suitcase  33508;
summoning focus  32821;
shrunk ogleroot  11205;
silverhawk feathers  30915;
skull piece  6163;
sparkling energy  29317;
spectral sigil shard  30057;
spider leg  31721;
spirit shards  12183;
spring  31613;
static gloves shard  30058;
steadfast boots  21787;
stinkbloom  12590;
stone scarab  9030;
saradomin hilt shard  30108;
saradomin sword shard  30122;
saradomin's hiss shard  30124;
saradomin's murmur shard  30125;
saradomin's whisper shard  30123;
saratrice egg  12113;
seers' ring shard  30086;
seismic singularity shard  30079;
seismic wand shard  30078;
shard of energy weapon token  36817;
shard of havoc weapon token  36815;
shard of malice weapon token  36816;
tansymum  12576;
timber beam  8837;
tortoise shell  7939;
torva boots shard  30103;
torva full helm shard  30090;
torva gloves shard  30101;
torva platebody shard  30091;
torva platelegs shard  30092;
toy doll  7763;
toy mouse  7767;
toy soldier  7759;
tracking gloves shard  30059;
valentine's petal  36775;
vecna skull  20667;
vibrant energy  29319;
virtus book shard  30074;
virtus boots shard  30104;
virtus gloves shard  30102;
virtus mask shard  30096;
virtus robe legs shard  30098;
virtus robe top shard  30097;
virtus wand shard  30073;
vis wax  32092;
vulatrice egg  12121;
ward of subjugation shard  30114;
warrior ring shard  30088;
wooden cat  10891;
wyvern crossbow  35985;
zamatrice egg  12115;
zamorak hilt shard  30109;
zamorakian spear shard  30110;
zaryte bow shard  30099;
adamant brutal  4798;
adamant dart  810;
adamant javelin  829;
adamant knife  867;
adamant throwing axe  804;
azure skillchompa  31597;
black brutal  4788;
black dart  3093;
black knife  869;
bolt rack  4740;
bone bolts  8882;
bronze brutal  4773;
bronze dart  806;
bronze javelin  825;
bronze knife  864;
bronze throwing axe  800;
c. morrigan's throwing axe  13957;
cannonball  2;
chinchompa  10033;
cobalt skillchompa  31595;
corrupt morrigan's javelin  13953;
crimson skillchompa  31598;
dragon dart  11230;
dragon javelin  35115;
dragon knife  31375;
dragon throwing axe  29543;
guam tar  10142;
hand cannon shot  15243;
harralander tar  10145;
iron brutal  4778;
iron dart  807;
iron javelin  826;
iron knife  863;
iron throwing axe  801;
kebbit bolts  10158;
long kebbit bolts  10159;
marrentill tar  10143;
mechanised chinchompa  36391;
mith grapple  9419;
mithril brutal  4793;
mithril dart  809;
mithril javelin  828;
mithril knife  866;
mithril throwing axe  803;
morrigan's javelin  13879;
morrigan's throwing axe  13883;
ogre arrow  2866;
off-hand iron dart  25910;
off-hand iron knife  25896;
off-hand iron throwing axe  25904;
off-hand mithril dart  25913;
off-hand mithril knife  25899;
off-hand mithril throwing axe  25906;
off-hand rune dart  25915;
off-hand rune knife  25901;
off-hand rune throwing axe  25908;
off-hand steel dart  25911;
off-hand steel knife  25898;
off-hand steel throwing axe  25905;
off-hand adamant dart  25914;
off-hand adamant knife  25900;
off-hand adamant throwing axe  25907;
off-hand black dart  25912;
off-hand black knife  25902;
off-hand bronze dart  25909;
off-hand bronze knife  25897;
off-hand bronze throwing axe  25903;
off-hand dragon dart  25916;
off-hand dragon javelin  35116;
off-hand dragon knife  31376;
off-hand dragon throwing axe  29544;
red chinchompa  10034;
rune brutal  4803;
rune dart  811;
rune javelin  830;
rune knife  868;
rune throwing axe  805;
steel brutal  4783;
steel dart  808;
steel javelin  827;
steel knife  865;
steel throwing axe  802;
tarromin tar  10144;
toktz-xil-ul  6522;
viridian skillchompa  31596;
wyvern spines  35989;
adamant arrow  890;
adamant fire arrows  2538;
adamant fire arrows  2539;
araxyte arrow  31737;
bronze arrow  882;
bronze fire arrows  598;
bronze fire arrows  942;
dark arrow  29617;
dragon arrow  11212;
dragon fire arrows  11217;
dragon fire arrows  11222;
guthix arrows  19157;
iron arrow  884;
iron fire arrows  2532;
iron fire arrows  2533;
lit dark fire arrows  29622;
mithril arrow  888;
mithril fire arrows  2536;
mithril fire arrows  2537;
rune arrow  892;
rune fire arrows  2541;
rune fire arrows  2540;
saradomin arrows  19152;
steel arrow  886;
steel fire arrows  2534;
steel fire arrows  2535;
unlit dark fire arrows  29627;
wild arrow  34235;
zamorak arrows  19162;
adamant bolts  9143;
ascendri bolts  31868;
ascendri bolts (e)  31881;
ascension bolts  28465;
bakriminel bolts  24116;
barbed bolts  881;
black bolts  13083;
broad-tipped bolts  13280;
bronze bolts  877;
diamond bolts  9340;
diamond bolts (e)  9243;
dragon bolts  9341;
dragon bolts (e)  9244;
emerald bolts  9338;
emerald bolts (e)  9241;
iron bolts  9140;
mithril bolts  9142;
onyx bolts  9342;
onyx bolts (e)  9245;
opal bolts  879;
opal bolts (e)  9236;
pearl bolts  880;
pearl bolts (e)  9238;
royal bolts  24336;
ruby bolts  9339;
ruby bolts (e)  9242;
runite bolts  9144;
sapphire bolts  9337;
sapphire bolts (e)  9240;
silver bolts  9145;
steel bolts  9141;
topaz bolts  9336;
topaz bolts (e)  9239;
adamantite nails  4823;
black nails  4821;
bolt of cloth  8790;
bronze nails  4819;
gold leaf  8784;
iron nails  4820;
magic stone  8788;
mahogany plank  8782;
marble block  8786;
message in a bottle  34721;
mithril nails  4822;
oak plank  8778;
plank  960;
porthole  34719;
rune nails  4824;
shark jawbone  34723;
ship figurehead  34725;
steel nails  1539;
teak plank  8780;
telescope lenses  34717;
asgarnian ale  8520;
beer barrel  8516;
carved oak bench  8566;
carved oak magic wardrobe  9853;
carved oak table  8552;
carved teak bench  8570;
carved teak magic wardrobe  9855;
carved teak table  8556;
chef's delight  8526;
cider barrel  8518;
crude wooden chair  8496;
dragon bitter  8524;
fancy teak dresser  8604;
gilded 4-poster  8588;
gilded bench  8574;
gilded cape rack  9846;
gilded clock  8594;
gilded dresser  8608;
gilded magic wardrobe  9857;
gilded wardrobe  8622;
greenman's ale  8522;
large oak bed  8580;
large teak bed  8584;
mahogany toy box  9851;
marble cape rack  9847;
marble magic wardrobe  9858;
m'gany arm'r case  9861;
m'gany cape rack  9845;
m'gany treas' chest  9864;
magical cape rack  9848;
mahogany 'drobe  8620;
mahogany armchair  8508;
mahogany b'kcase  8514;
mahogany bench  8572;
mahogany cos box  9867;
mahogany dresser  8606;
mahogany magic wardrobe  9856;
mahogany table  8558;
oak kitchen table  8530;
oak magic wardrobe  9852;
oak shaving stand  8598;
oak toy box  9849;
oak treasure chest  9862;
oak wardrobe  8614;
opulent table  8560;
oak armchair  8504;
oak armour case  9859;
oak bed  8578;
oak bench  8564;
oak bookcase  8512;
oak cape rack  9843;
oak chair  8502;
oak clock  8590;
oak costume box  9865;
oak dining table  8550;
oak drawers  8612;
oak dresser  8600;
rocking chair  8500;
shaving stand  8596;
shoe box  8610;
teak toy box  9850;
teak treas' chest  9863;
teak wardrobe  8618;
teak armchair  8506;
teak armour case  9860;
teak bed  8582;
teak cape rack  9844;
teak clock  8592;
teak costume box  9866;
teak dining bench  8568;
teak drawers  8616;
teak dresser  8602;
teak kitchen table  8532;
teak magic wardrobe  9854;
teak table  8554;
wood dining table  8548;
wood kitchen table  8528;
wooden bed  8576;
wooden bench  8562;
wooden bookcase  8510;
wooden chair  8498;
ale yeast  5767;
apple mush  5992;
asgarnian hops  5996;
barley  6006;
barley malt  6008;
bittercap mushroom  6004;
bread dough  2307;
bucket of milk  1927;
chocolate bar  1973;
chocolate dust  1975;
chopped garlic  7074;
cooking apple  1955;
curry leaf  5970;
dwellberries  2126;
egg  1944;
equa leaves  2128;
fat snail  3367;
garlic  1550;
gianne dough  2171;
gnome spice  2169;
grapes  1987;
hammerstone hops  5994;
incomplete pizza  2285;
incomplete stew  1997;
kebab mix  1881;
kelp  34732;
king worm  2162;
krandorian hops  6000;
lean snail  3365;
lemon  2102;
lemon chunks  2104;
lemon slices  2106;
lime  2120;
lime chunks  2122;
lime slices  2124;
locust meat  9052;
orange  2108;
orange chunks  2110;
orange slices  2112;
pastry dough  1953;
pat of butter  6697;
pie shell  2315;
pineapple  2114;
pineapple chunks  2116;
pineapple ring  2118;
pitta dough  1863;
pizza base  2283;
pot of cream  2130;
pot of flour  1933;
part admiral pie  7192;
part admiral pie  7194;
part fish pie  7182;
part fish pie  7184;
part garden pie  7172;
part garden pie  7174;
part mud pie  7166;
part mud pie  7164;
part summer pie  7212;
part summer pie  7214;
part wild pie  7204;
part wild pie  7202;
raw summer pie  7216;
raw swordfish  371;
raw trout  335;
raw tuna  359;
raw ugthanki meat  1859;
raw undead beef  4287;
raw undead chicken  4289;
raw wild pie  7206;
raw wolf meat  23058;
raw yak meat  10816;
redberries  1951;
raw mud pie  7168;
raw oomlie  2337;
raw pike  349;
raw rabbit  3226;
raw rainbow fish  10138;
raw rat meat  2134;
raw rocktail  15270;
raw salmon  331;
raw sardine  327;
raw sea turtle  395;
raw shark  383;
raw shrimps  317;
raw crayfish  13435;
raw crunchies  2202;
raw fish pie  7186;
raw garden pie  7176;
raw great white shark  34727;
raw herring  345;
raw jubbly  7566;
raw karambwan  3142;
raw lobster  377;
raw mackerel  353;
raw manta ray  389;
raw monkfish  7944;
raw admiral pie  7196;
raw anchovies  321;
raw bass  363;
raw bear meat  2136;
raw beast meat  9986;
raw beef  2132;
raw bird meat  9978;
raw cave eel  5001;
raw cavefish  15264;
raw chicken  2138;
raw chompy  2876;
raw cod  341;
skewered beast  9992;
skewered bird meat  9984;
skewered chompy  7230;
skewered rabbit  7224;
sliced mushrooms  7080;
slimy eel  3379;
spice  2007;
spider carcass  6291;
spider on shaft  6295;
spider on stick  6293;
sweetcorn  5986;
thin snail  3363;
uncooked apple pie  2317;
uncooked berry pie  2321;
uncooked cake  1889;
uncooked curry  2009;
uncooked egg  7076;
uncooked meat pie  2319;
uncooked pizza  2287;
uncooked stew  2001;
wheat  1947;
wildblood hops  6002;
wrapped oomlie  2341;
yanillian hops  5998;
a powdered wig  10392;
antlers  12204;
boots  2914;
boots  2924;
boots  2894;
bronze dragon mask  19296;
brown headband  2649;
blue h'ween mask  1055;
blue hat  660;
blue partyhat  1042;
blue robe bottoms  650;
blue robe top  640;
bob shirt  10318;
bob shirt  10322;
bob shirt  10320;
bob shirt  10324;
bob shirt  10316;
boots  2904;
boots  2934;
black robe skirt  1015;
black santa hat  30412;
black unicorn mask  19278;
blue beret  2633;
blue boater  7325;
blue boots  630;
blue dragon mask  19284;
blue elegant blouse  10428;
blue elegant legs  10410;
blue elegant shirt  10408;
blue elegant skirt  10430;
blue flowers  2464;
bandana  13370;
bandana  13372;
bandana  13374;
bat mask  13111;
black beret  2635;
black boater  7327;
black cavalier  2643;
black dragon mask  19290;
black elegant legs  10402;
black elegant shirt  10400;
black flowers  2476;
black headband  2647;
citizen trousers  9642;
cloak of seasons  31396;
crab hat (tradeable)  34936;
cream boots  632;
cream hat  662;
cream robe bottoms  652;
cream robe top  642;
crown of seasons  28597;
cyclopean helmet  20070;
cape  1021;
cape  1029;
cape  1019;
cape  1023;
cape  1031;
cape  1027;
cape  6959;
cape  1007;
cat mask  13113;
christmas tree hat  26493;
citizen shoes  9644;
citizen top  9640;
dragon kite ornament kit (sp)  25314;
dragon platebody ornament kit (or)  19350;
dragon platebody ornament kit (sp)  19358;
dragon platelegs/skirt ornament kit (or)  19348;
dragon platelegs/skirt ornament kit (sp)  19356;
dragon sq shield ornament kit (or)  19352;
dragon sq shield ornament kit (sp)  19360;
dragonbone upgrade kit  24352;
dark cavalier  2641;
davy kebbit hat  12568;
desert boots  1837;
desert legs  6390;
desert robe  1835;
desert robes  6386;
desert shirt  1833;
desert top  6388;
desert top  6384;
dragon full helm ornament kit (or)  19346;
dragon full helm ornament kit (sp)  19354;
dragon kite ornament kit (or)  25312;
eye patch  1025;
fremennik robe  3793;
fremennik shirt  3775;
fremennik shirt  3767;
fremennik shirt  3773;
fremennik shirt  3771;
fremennik shirt  3769;
fremennik skirt  3795;
frost dragon mask  19293;
fury ornament kit  19333;
fremennik cloak  3789;
fremennik cloak  3761;
fremennik cloak  3777;
fremennik cloak  3785;
fremennik cloak  3787;
fremennik cloak  3765;
fremennik cloak  3781;
fremennik cloak  3763;
fremennik cloak  3783;
fremennik cloak  3759;
fremennik cloak  3779;
fremennik hat  3797;
feather headdress  12216;
feather headdress  12219;
feather headdress  12213;
feather headdress  12222;
feather headdress  12210;
fez  6382;
fish mask  24431;
flared trousers  10394;
flowers  2472;
flowers  2460;
fox mask  19272;
fremennik boots  3791;
green elegant blouse  10432;
green elegant legs  10414;
green elegant shirt  10412;
green elegant skirt  10434;
green h'ween mask  1053;
green hat  658;
green partyhat  1044;
green robe bottoms  648;
green robe top  638;
gloves  3799;
gloves  2932;
gloves  2902;
gloves  2942;
gloves  2912;
gloves  2922;
gloves of silence  10075;
gnome goggles  9472;
gnome scarf  9470;
green boater  7323;
green boots  628;
green dragon mask  19281;
highwayman mask  2631;
holly wreath  33628;
h.a.m. boots  4310;
h.a.m. cloak  4304;
h.a.m. gloves  4308;
h.a.m. hood  4302;
h.a.m. logo  4306;
h.a.m. robe  4300;
h.a.m. shirt  4298;
hat  2900;
hat  2920;
hat  2940;
hat  2930;
hat  2910;
iron dragon mask  19299;
left eyepatch  13355;
lizard skull  12207;
menap action kilt  6398;
menap action kilt  6406;
menap headgear  6400;
menap headgear  6392;
menaphite robe  6404;
menaphite robe  6396;
menaphite top  6394;
menaphite top  6402;
mithril dragon mask  19305;
ogre boots  12565;
ogre kilt  12561;
ogre top  12563;
ogre wig  12559;
orange boater  7321;
orange flowers  2470;
purple elegant shirt  10416;
purple elegant skirt  10438;
purple flowers  2468;
purple partyhat  1046;
pirate leggings  7126;
pirate leggings  13368;
pirate leggings  7132;
pirate leggings  7116;
pirate leggings  7138;
pirate leggings  13364;
pirate leggings  13366;
pirate's hat  2651;
pith helmet  13103;
prize token  34929;
purple elegant blouse  10436;
purple elegant legs  10418;
pantaloons  10396;
penguin mask  13109;
pink boots  626;
pink hat  656;
pink robe bottoms  646;
pink robe top  636;
pink skirt  1013;
pirate bandana  7136;
pirate bandana  7130;
pirate bandana  7112;
pirate bandana  7124;
pirate boots  7114;
royal sceptre  15507;
royal shirt  15503;
robe bottoms  2908;
robe bottoms  2938;
robe bottoms  2898;
robe top  2896;
robe top  2916;
robe top  2906;
robe top  2936;
robe top  2926;
royal amulet  15511;
royal cape  24315;
royal crown  15509;
royal leggings  15505;
red boater  7319;
red dragon mask  19287;
red elegant blouse  10424;
red elegant legs  10406;
red elegant shirt  10404;
red elegant skirt  10426;
red flowers  2462;
red h'ween mask  1057;
red headband  2645;
red partyhat  1038;
robe bottoms  2928;
robe bottoms  2918;
spotted cape  10069;
spottier cape  10071;
steel dragon mask  19302;
stripy pirate shirt  7110;
stripy pirate shirt  13360;
stripy pirate shirt  7122;
stripy pirate shirt  13362;
stripy pirate shirt  7134;
stripy pirate shirt  7128;
stripy pirate shirt  13358;
santa hat  1050;
sheep mask  13107;
shirt  5034;
shirt  5032;
shirt  5030;
shorts  5046;
shorts  5044;
shorts  5042;
skirt  5052;
skirt  5050;
skirt  5048;
sleeping cap  10398;
turquoise hat  664;
turquoise robe bottoms  654;
turquoise robe top  644;
team-7 cape  4327;
team-8 cape  4329;
team-9 cape  4331;
top hat  13101;
tribal top  6351;
tribal top  6361;
tribal top  6341;
tribal top  6371;
trousers  5038;
trousers  5036;
trousers  5040;
turquoise boots  634;
team-41 cape  4395;
team-42 cape  4397;
team-43 cape  4399;
team-44 cape  4401;
team-45 cape  4403;
team-46 cape  4405;
team-47 cape  4407;
team-48 cape  4409;
team-49 cape  4411;
team-5 cape  4323;
team-50 cape  4413;
team-6 cape  4325;
team-30 cape  4373;
team-31 cape  4375;
team-32 cape  4377;
team-33 cape  4379;
team-34 cape  4381;
team-35 cape  4383;
team-36 cape  4385;
team-37 cape  4387;
team-38 cape  4389;
team-39 cape  4391;
team-4 cape  4321;
team-40 cape  4393;
team-2 cape  4317;
team-20 cape  4353;
team-21 cape  4355;
team-22 cape  4357;
team-23 cape  4359;
team-24 cape  4361;
team-25 cape  4363;
team-26 cape  4365;
team-27 cape  4367;
team-28 cape  4369;
team-29 cape  4371;
team-3 cape  4319;
tan cavalier  2639;
team-1 cape  4315;
team-10 cape  4333;
team-11 cape  4335;
team-12 cape  4337;
team-13 cape  4339;
team-14 cape  4341;
team-15 cape  4343;
team-16 cape  4345;
team-17 cape  4347;
team-18 cape  4349;
team-19 cape  4351;
villager sandals  6349;
villager sandals  6367;
villager sandals  6377;
villager sandals  6357;
vyrewatch legs  9636;
vyrewatch shoes  9638;
vyrewatch top  9634;
villager armband  6369;
villager armband  6379;
villager armband  6359;
villager armband  6347;
villager hat  6375;
villager hat  6355;
villager hat  6345;
villager hat  6365;
villager robe  6373;
villager robe  6363;
villager robe  6343;
villager robe  6353;
white beret  2637;
white elegant blouse  10420;
white elegant skirt  10422;
white flowers  2474;
white partyhat  1048;
white unicorn mask  19275;
wizard robe skirt  1011;
wolf mask  13115;
woven top  5024;
woven top  5026;
woven top  5028;
yellow flowers  2466;
yellow partyhat  1040;
air orb  573;
algarum thread  29864;
blamish red shell  3357;
blue dragon leather  2505;
blue dragonhide  1751;
blue dye  1767;
bowl (unfired)  1791;
bronze wire  1794;
bucket of sand  1783;
bullseye lantern  4544;
ball of wool  1759;
batwing  25549;
black dragon leather  2509;
black dragonhide  1747;
blamish bark shell  3353;
blamish blue shell  3361;
blamish blue shell  3351;
blamish myre shell  3345;
blamish myre shell  3355;
blamish ochre shell  3349;
blamish ochre shell  3359;
blamish red shell  3347;
carapace  25551;
cave goblin wire  10981;
clay ring (unfired)  20052;
clingy mole  30779;
clockwork  8792;
cowhide  1739;
cured yak-hide  10820;
diamond  1601;
dragonstone  1615;
earth orb  575;
emerald  1605;
fine cloth  3470;
fire orb  569;
flax  1779;
fungal flake  22449;
ganodermic flake  22451;
ghostly essence  32341;
green dragon leather  1745;
green dragonhide  1753;
green dye  1771;
grifolic flake  22450;
hair  10814;
hard leather  1743;
hydrix  31855;
imphide  25545;
jade  1611;
lantern lens  4542;
leather  1741;
magic roots  6051;
magic string  6038;
molten glass  1775;
oil lantern frame  4540;
onyx  6573;
opal  1609;
orange dye  1769;
oyster  407;
oyster pearl  411;
oyster pearls  413;
pie dish (unfired)  1789;
polypore spore  22448;
pot (unfired)  1787;
purple dye  1773;
red dragon leather  2507;
red dragonhide  1749;
red dye  1763;
red topaz  1613;
royal dragon leather  24374;
royal dragonhide  24372;
ruby  1603;
sapphire  1607;
seaweed  401;
sinew  9436;
sirenic scale  29863;
snake hide  6287;
snake hide  7801;
snakeskin  6289;
soda ash  1781;
soft clay  1761;
spider silk  25547;
steel studs  2370;
swamp weed  10978;
unpowered orb  567;
uncut diamond  1617;
uncut dragonstone  1631;
uncut emerald  1621;
uncut hydrix  31853;
uncut jade  1627;
uncut onyx  6571;
uncut opal  1625;
uncut red topaz  1629;
uncut ruby  1619;
uncut sapphire  1623;
unfired plant pot  5352;
unfired pot lid  4438;
water orb  571;
woad leaf  1793;
wool  1737;
yak-hide  10818;
yellow dye  1765;
abyssal lurker pouch  12037;
abyssal parasite pouch  12035;
abyssal titan pouch  12796;
adamant minotaur pouch  12081;
albino rat pouch  12067;
arctic bear pouch  12057;
barker toad pouch  12123;
beaver pouch  12021;
bloated leech pouch  12061;
blood nihil pouch  31410;
brawler demon pouch  34137;
bronze minotaur pouch  12073;
bull ant pouch  12087;
bunyip pouch  12029;
compost mound pouch  12091;
deacon demon pouch  34141;
desert wyrm pouch  12049;
dreadfowl pouch  12043;
evil turnip pouch  12051;
executioner demon pouch  34139;
fire titan pouch  12802;
forge regent pouch  12782;
fruit bat pouch  12033;
geyser titan pouch  12786;
giant chinchompa pouch  12800;
giant ent pouch  12013;
granite crab pouch  12009;
granite lobster pouch  12069;
honey badger pouch  12065;
hydra pouch  12025;
ibis pouch  12531;
ice nihil pouch  31416;
ice titan pouch  12806;
iron minotaur pouch  12075;
iron titan pouch  12822;
karam. overlord pouch  12023;
lava titan pouch  12788;
light creature pouch  32829;
macaw pouch  12071;
magpie pouch  12041;
meerkats pouch  19622;
mithril minotaur pouch  12079;
moss titan pouch  12804;
nightmare muspah pouch  31328;
obsidian golem pouch  12792;
pack mammoth pouch  36060;
pack yak pouch  12093;
phoenix pouch  14623;
praying mantis pouch  12011;
pyrelord pouch  12816;
ravenous locust pouch  12820;
reborn phoenix pouch  34852;
rune minotaur pouch  12083;
steel titan pouch  12790;
stranger plant pouch  12045;
swamp titan pouch  12776;
spirit graahk pouch  12810;
spirit jelly pouch  12027;
spirit kalphite pouch  12063;
spirit kyatt pouch  12812;
spirit larupia pouch  12784;
spirit mosquito pouch  12778;
spirit scorpion pouch  12055;
spirit spider pouch  12059;
spirit terrorbird pouch  12007;
spirit tz-kih pouch  12808;
spirit wolf pouch  12047;
steel minotaur pouch  12077;
shadow nihil pouch  31412;
smoke devil pouch  12085;
smoke nihil pouch  31414;
sp. cockatrice pouch  12095;
sp. coraxatrice pouch  12105;
sp. guthatrice pouch  12097;
sp. pengatrice pouch  12103;
sp. saratrice pouch  12099;
sp. vulatrice pouch  12107;
sp. zamatrice pouch  12101;
spirit cobra pouch  12015;
spirit dagannoth pouch  12017;
talon beast pouch  12794;
thorny snail pouch  12019;
unicorn stallion pouch  12039;
vampyre bat pouch  12053;
void ravager pouch  12818;
void shifter pouch  12814;
void spinner pouch  12780;
void torcher pouch  12798;
war tortoise pouch  12031;
wolpertinger pouch  12089;
cadava berries  753;
coconut  5974;
coconut shell  5978;
evil turnip  12134;
jute fibre  5931;
leaves  6024;
leaves  6028;
leaves  6026;
leaves  6030;
leaves  6022;
leaves  6020;
maple roots  6047;
marigolds  6010;
nasturtiums  6012;
oak roots  6043;
rosemary  6014;
willow branch  5933;
willow roots  6045;
yew roots  6049;
adamant arrowheads  43;
adamant bolts (unf)  9380;
adamant c'bow (u)  9463;
adamant dart tip  823;
adamantite limbs  9429;
arrow shaft  52;
barb bolttips  47;
bowstring  1777;
broad arrowheads  13278;
bronze arrowheads  39;
bronze bolts (unf)  9375;
bronze c'bow (u)  9454;
bronze dart tip  819;
bronze limbs  9420;
crossbow string  9438;
dark arrowheads  29729;
diamond bolt tips  9192;
dragon arrowheads  11237;
dragon bolt tips  9193;
dragon c'bow (u)  25478;
dragon dart tip  11232;
dragon limbs  25481;
elder shieldbow (u)  29734;
elder shortbow (u)  29736;
emerald bolt tips  9190;
feather  314;
flighted ogre arrow  2865;
headless arrow  53;
hydrix bolt tips  31867;
iron arrowheads  40;
iron bolts (unf)  9377;
iron c'bow (u)  9457;
